standardscaler__Hectare,onehotencoder__Official_0,onehotencoder__Official_1,onehotencoder__Advisories_N,onehotencoder__SpecialFeatures_N,onehotencoder__SpecialFeatures_Y,onehotencoder__Facilities_N,onehotencoder__Facilities_Y,pipeline__NeighbourhoodName_Arbutus-Ridge,pipeline__NeighbourhoodName_Downtown,pipeline__NeighbourhoodName_Dunbar-Southlands,pipeline__NeighbourhoodName_Fairview,pipeline__NeighbourhoodName_Grandview-Woodland,pipeline__NeighbourhoodName_Hastings-Sunrise,pipeline__NeighbourhoodName_Kensington-Cedar Cottage,pipeline__NeighbourhoodName_Kerrisdale,pipeline__NeighbourhoodName_Killarney,pipeline__NeighbourhoodName_Kitsilano,pipeline__NeighbourhoodName_Marpole,pipeline__NeighbourhoodName_Mount Pleasant,pipeline__NeighbourhoodName_Oakridge,pipeline__NeighbourhoodName_Renfrew-Collingwood,pipeline__NeighbourhoodName_Riley Park,pipeline__NeighbourhoodName_Shaughnessy,pipeline__NeighbourhoodName_South Cambie,pipeline__NeighbourhoodName_Strathcona,pipeline__NeighbourhoodName_Sunset,pipeline__NeighbourhoodName_Victoria-Fraserview,pipeline__NeighbourhoodName_West End,pipeline__NeighbourhoodName_West Point Grey
-0.18008003582736384,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.17703184261083796,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22532966197058132,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.18312822904388976,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.16270533449316618,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1532559355219359,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1633149731364714,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33140678590568273,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.18526196429545788,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.16453425042308176,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
